2024-11-18 02:13:26,503 p=46913 u=jason n=ansible | PLAY [Initial setup] ****************************************************************************************************************************************************
    Could not find or access 'prometheus.j2'
    Searched in:
            /Users/jason/ica0002/roles/prometheus/templates/prometheus.j2
            /Users/jason/ica0002/roles/prometheus/prometheus.j2
            /Users/jason/ica0002/roles/prometheus/tasks/templates/prometheus.j2
            /Users/jason/ica0002/roles/prometheus/tasks/prometheus.j2
            /Users/jason/ica0002/templates/prometheus.j2
            /Users/jason/ica0002/prometheus.j2 on the Ansible Controller.
    If you are using a module and expect the file to exist on the remote, see the remote_src option
2024-11-18 02:18:44,632 p=49107 u=jason n=ansible | PLAY RECAP **************************************************************************************************************************************************************
2024-11-18 02:18:44,632 p=49107 u=jason n=ansible | 1PipeTeaseOps-1            : ok=7    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-11-18 02:18:44,632 p=49107 u=jason n=ansible | 1PipeTeaseOps-2            : ok=19   changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2024-11-18 02:19:07,242 p=49538 u=jason n=ansible | PLAY [Initial setup] ****************************************************************************************************************************************************
2024-11-18 02:19:07,248 p=49538 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:19:08,597 p=49538 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:19:08,602 p=49538 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:19:08,606 p=49538 u=jason n=ansible | TASK [init : Update APT cache] ******************************************************************************************************************************************
2024-11-18 02:19:09,597 p=49538 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:19:09,603 p=49538 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:19:09,609 p=49538 u=jason n=ansible | TASK [init : Install Prometheus Node Exporter] **************************************************************************************************************************
2024-11-18 02:19:10,830 p=49538 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:19:10,831 p=49538 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:19:10,837 p=49538 u=jason n=ansible | TASK [init : Ensure Prometheus Node Exporter is running] ****************************************************************************************************************
2024-11-18 02:19:11,658 p=49538 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:19:11,659 p=49538 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:19:11,670 p=49538 u=jason n=ansible | PLAY [Configure DNS Server] *********************************************************************************************************************************************
2024-11-18 02:19:11,678 p=49538 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:19:12,731 p=49538 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:19:12,736 p=49538 u=jason n=ansible | TASK [bind : Install Bind9] *********************************************************************************************************************************************
2024-11-18 02:19:13,904 p=49538 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:19:13,911 p=49538 u=jason n=ansible | TASK [bind : Template named.conf.options] *******************************************************************************************************************************
2024-11-18 02:19:14,725 p=49538 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:19:14,731 p=49538 u=jason n=ansible | TASK [bind : Template named.conf.local] *********************************************************************************************************************************
2024-11-18 02:19:15,427 p=49538 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:19:15,433 p=49538 u=jason n=ansible | TASK [bind : Template forward zone file] ********************************************************************************************************************************
2024-11-18 02:19:16,208 p=49538 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:19:16,215 p=49538 u=jason n=ansible | TASK [bind : Template reverse zone file] ********************************************************************************************************************************
2024-11-18 02:19:17,107 p=49538 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:19:17,114 p=49538 u=jason n=ansible | TASK [bind : Validate Bind9 Configuration] ******************************************************************************************************************************
2024-11-18 02:19:17,579 p=49538 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:19:17,582 p=49538 u=jason n=ansible | TASK [bind : Validate Forward Zone] *************************************************************************************************************************************
2024-11-18 02:19:17,970 p=49538 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:19:17,975 p=49538 u=jason n=ansible | TASK [bind : Validate Reverse Zone] *************************************************************************************************************************************
2024-11-18 02:19:18,343 p=49538 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:19:18,352 p=49538 u=jason n=ansible | TASK [bind : Ensure Bind9 is running and enabled] ***********************************************************************************************************************
2024-11-18 02:19:18,918 p=49538 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:19:18,925 p=49538 u=jason n=ansible | PLAY [Configure DNS Client] *********************************************************************************************************************************************
2024-11-18 02:19:18,931 p=49538 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:19:19,976 p=49538 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:19:19,977 p=49538 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:19:19,981 p=49538 u=jason n=ansible | TASK [config-dns : Resolv.conf] *****************************************************************************************************************************************
2024-11-18 02:19:20,650 p=49538 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:19:20,656 p=49538 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:19:20,660 p=49538 u=jason n=ansible | TASK [config-dns : Stop systemd-resolved] *******************************************************************************************************************************
2024-11-18 02:19:21,274 p=49538 u=jason n=ansible | ok: [1PipeTeaseOps-1]
